resp,size,size.sel,expl,selected,count.sel,cv_prop,elpd,elpd.lq,elpd.uq,elpd.se,diff,diff.lq,diff.uq,diff.se
D01,0,3,,,,,-350.381344603095,-352.353479031463,-348.409210174727,1.9721344283679,-1.82795959217982,-2.38213580656553,-1.27378337779412,0.554176214385705
D01,1,3,B38,TRUE,2,1,-349.138071766294,-351.146069003033,-347.130074529554,2.00799723673968,-0.584686755378567,-0.955507873635835,-0.213865637121299,0.370821118257268
D01,2,3,D33,TRUE,2,0.579881656804734,-351.316829669358,-353.353196111391,-349.280463227326,2.03636644203256,-2.76344465844315,-3.027447082284,-2.49944223460231,0.264002423840843
D01,3,3,A26,TRUE,2,1,-348.559271098146,-350.587531996089,-346.531010200202,2.02826089794344,-0.00588608723088413,-0.173825633266394,0.162053458804626,0.16793954603551
D01,4,3,C04,FALSE,0,1,-348.553385010915,-350.587712266125,-346.519057755705,2.03432725521035,0,0,0,0
D01,5,3,A36,FALSE,2,0.992110453648915,-348.613376215802,-350.647993886514,-346.578758545091,2.03461767071137,-0.059991204887365,-0.201207360546964,0.0812249507722336,0.141216155659599
D01,6,3,A20,FALSE,0,0.938856015779093,-348.928420963567,-350.970409077444,-346.88643284969,2.04198811387683,-0.375035952651857,-0.55971127285862,-0.190360632445095,0.184675320206762
D01,7,3,E07,FALSE,0,0.986193293885601,-348.755550074071,-350.799652449901,-346.711447698241,2.04410237582991,-0.202165063156227,-0.409270523199334,0.00494039688688053,0.207105460043107
D01,8,3,A23,FALSE,1,0.303747534516765,-349.955017861679,-352.008231612915,-347.901804110443,2.05321375123579,-1.40163285076416,-1.62466441493247,-1.17860128659585,0.22303156416831
D01,9,3,A24,FALSE,1,0.52465483234714,-350.355211638524,-352.417138824675,-348.293284452373,2.06192718615081,-1.80182662760929,-2.04232615560595,-1.56132709961263,0.24049952799666
D01,10,3,A34,FALSE,0,0.595660749506903,-350.425193070939,-352.4919507447,-348.358435397179,2.06675767376011,-1.87180806002447,-2.12253578538414,-1.6210803346648,0.25072772535967
D01,11,3,C01,FALSE,1,0.353057199211045,-350.303473520625,-352.370458348222,-348.236488693028,2.06698482759727,-1.75008850971014,-2.01093489057551,-1.48924212884477,0.260846380865371
D01,12,3,F16,FALSE,0,0.804733727810651,-350.264676835864,-352.326041834652,-348.203311837076,2.06136499878761,-1.71129182494901,-1.98463922320439,-1.43794442669363,0.273347398255381
D01,13,3,D34,FALSE,2,0.816568047337278,-350.470492801534,-352.524512201634,-348.416473401435,2.05401940009928,-1.91710779061928,-2.19878942414522,-1.63542615709333,0.281681633525946
D01,14,3,C09,FALSE,0,0.465483234714004,-350.635467254619,-352.697741466108,-348.573193043129,2.06227421148975,-2.08208224370376,-2.36753046478834,-1.79663402261917,0.285448221084584
D01,15,3,A18,FALSE,0,0.516765285996055,-350.444957701248,-352.515643028575,-348.374272373922,2.07068532732657,-1.89157269033327,-2.19003683011879,-1.59310855054774,0.298464139785525
D01,16,3,A25,FALSE,0,0.942800788954635,-350.018259582945,-352.087051958134,-347.949467207757,2.06879237518878,-1.4648745720304,-1.7693128992181,-1.1604362448427,0.304438327187702
D01,17,3,C02,FALSE,0,0.627218934911243,-350.040257867102,-352.111232194992,-347.969283539212,2.07097432788995,-1.48687285618733,-1.79863869755879,-1.17510701481588,0.311765841371458
D01,18,3,A21,FALSE,0,0.747534516765286,-350.10048369695,-352.172729636629,-348.02823775727,2.07224593967959,-1.54709868603474,-1.86229583710936,-1.23190153496012,0.315197151074621
D01,19,3,D32,FALSE,1,0.642998027613412,-350.019458457448,-352.0914346437,-347.947482271195,2.0719761862525,-1.46607344653294,-1.78526396915705,-1.14688292390884,0.319190522624106
D01,20,3,A31,FALSE,0,0.82051282051282,-349.801977265981,-351.869413351195,-347.734541180767,2.06743608521412,-1.24859225506615,-1.57510788688159,-0.922076623250719,0.326515631815435
D01,21,3,D35,FALSE,1,0.840236686390533,-349.663872571876,-351.734384549763,-347.593360593988,2.07051197788749,-1.11048756096056,-1.4426116820456,-0.778363439875517,0.332124121085039
D01,22,3,A33,FALSE,0,0.674556213017752,-349.825833133426,-351.893432288405,-347.758233978448,2.06759915497864,-1.27244812251138,-1.6090815737586,-0.935814671264154,0.336633451247223
D01,23,3,E09,FALSE,0,0.617357001972387,-349.967240945614,-352.035167278372,-347.899314612855,2.06792633275851,-1.41385593469901,-1.75770859481497,-1.07000327458305,0.343852660115959
D01,24,3,A19,FALSE,0,0.54043392504931,-350.088868092683,-352.162620466162,-348.015115719204,2.0737523734787,-1.53548308176805,-1.88298451112712,-1.18798165240897,0.347501429359076
D01,25,3,B09,FALSE,0,0.607495069033531,-350.1429388069,-352.211257666778,-348.074619947022,2.06831885987825,-1.58955379598523,-1.9383475140272,-1.24076007794326,0.348793718041971
D01,Inf,3,,,,,-350.113398849248,-352.225499487206,-348.00129821129,2.11210063795786,-1.56001383833331,-1.92690050977694,-1.19312716688969,0.366886671443621
D02,0,3,,,,,-299.855061536819,-309.545178129981,-290.164944943657,9.69011659316187,-18.9678704926088,-22.8481809437662,-15.0875600414515,3.88031045115732
D02,1,3,B38,TRUE,2,0.899408284023669,-300.382606264169,-310.705323164782,-290.059889363556,10.3227169006133,-19.4954152199584,-22.4994167434482,-16.4914136964685,3.00400152348988
D02,2,3,F15,TRUE,3,0.895463510848126,-292.772794409719,-302.829899931325,-282.715688888112,10.0571055216064,-11.8856033655081,-14.126050535299,-9.64515619571731,2.24044716979082
D02,3,3,A36,TRUE,2,1,-283.159089226864,-292.784918844048,-273.533259609679,9.6258296171847,-2.27189818265317,-3.98289067968824,-0.560905685618098,1.71099249703507
D02,4,3,B14,FALSE,0,1,-281.370954749447,-290.969570186855,-271.772339312039,9.59861543740784,-0.483763705236616,-1.37702565326342,0.409498242790191,0.893261948026807
D02,5,3,B04,FALSE,0,0.996055226824458,-280.88719104421,-290.508897816018,-271.265484272403,9.62170677180718,0,0,0,0
D02,6,3,F19,FALSE,0,0.859960552268245,-285.84997384377,-295.709125791938,-275.990821895601,9.8591519481685,-4.96278279955928,-5.7151625577947,-4.21040304132386,0.752379758235419
D02,7,3,A37,FALSE,0,0.538461538461538,-288.970451158915,-298.869408009707,-279.071494308123,9.8989568507919,-8.0832601147042,-9.19781541657112,-6.96870481283728,1.11455530186692
D02,8,3,B13,FALSE,0,0.982248520710059,-283.536458231484,-293.320533781819,-273.75238268115,9.78407555033448,-2.64926718727376,-3.94186963176183,-1.35666474278569,1.29260244448807
D02,9,3,A23,FALSE,1,0.465483234714004,-287.209106392567,-297.048313344576,-277.369899440558,9.83920695200876,-6.32191534835671,-7.66461662557024,-4.97921407114318,1.34270127721353
D02,10,3,C04,FALSE,0,0.899408284023669,-286.931760678298,-296.826713544423,-277.036807812172,9.89495286612545,-6.04456963408726,-7.5290425355643,-4.56009673261021,1.48447290147705
D02,11,3,B15,FALSE,0,0.925049309664694,-285.990751047201,-295.83617145935,-276.145330635052,9.84542041214885,-5.10356000299039,-6.60689854485689,-3.60022146112389,1.5033385418665
