resp,size,size.sel,expl,selected,count.sel,cv_prop,elpd,elpd.lq,elpd.uq,elpd.se,diff,diff.lq,diff.uq,diff.se
D02,5,4,A30,FALSE,1,0.725838264299803,-219.399095252586,-233.136658431393,-205.661532073779,13.7375631788072,-1.08364258920727,-1.35673014826978,-0.810555030144759,0.273087559062508
D02,6,4,F19,FALSE,0,0.942800788954635,-218.915463571372,-232.635448924155,-205.19547821859,13.7199853527829,-0.600010907993916,-0.816892753836567,-0.383129062151265,0.216881845842651
D02,7,4,B14,FALSE,0,0.954635108481262,-218.681788485775,-232.395324316413,-204.968252655138,13.713535830637,-0.366335822396865,-0.509245609050212,-0.223426035743517,0.142909786653347
D02,8,4,B06,FALSE,0,0.964497041420118,-218.315452663379,-231.994259127415,-204.636646199342,13.6788064640361,0,0,0,0
D02,9,4,A23,FALSE,0,0.846153846153846,-219.223534328925,-232.952298507229,-205.494770150621,13.7287641783042,-0.908081665546412,-1.08038350550676,-0.735779825586063,0.172301839960349
D02,10,4,C04,FALSE,0,0.339250493096647,-220.412648165216,-234.180673300105,-206.644623030327,13.7680251348891,-2.09719550183729,-2.32919529553975,-1.86519570813483,0.231999793702461
D02,11,4,A22,FALSE,1,0.692307692307692,-220.790944068599,-234.606216413711,-206.975671723488,13.8152723451119,-2.47549140522087,-2.77588835785173,-2.17509445259,0.300396952630866
D02,12,4,A25,FALSE,0,0.72189349112426,-220.770418408439,-234.618196876661,-206.922639940217,13.8477784682222,-2.45496574506016,-2.81122571226833,-2.098705777852,0.356259967208167
D02,13,4,B35,FALSE,0,0.958579881656805,-220.198601232815,-234.050118651214,-206.347083814417,13.8515174183985,-1.8831485694366,-2.27875538945521,-1.48754174941799,0.395606820018609
D02,14,4,D32,FALSE,0,0.597633136094675,-219.737107974571,-233.54372277952,-205.930493169622,13.8066148049485,-1.42165531119239,-1.84727624876043,-0.996034373624344,0.425620937568045
D02,15,4,E10,FALSE,1,0.938856015779093,-219.445680156361,-233.214886478453,-205.676473834269,13.7692063220918,-1.13022749298227,-1.57514532947725,-0.685309656487296,0.444917836494978
D02,16,4,B02,FALSE,3,0.743589743589744,-219.113508449981,-232.853660222788,-205.373356677173,13.7401517728077,-0.79805578660224,-1.27748267906693,-0.318628894137553,0.479426892464688
D02,17,4,A28,FALSE,2,0.790927021696253,-218.694977454589,-232.401097659906,-204.988857249272,13.7061202053167,-0.37952479121058,-0.881806281320179,0.122756698899019,0.502281490109599
D02,18,4,B13,FALSE,0,0.668639053254438,-218.611665741424,-232.303438281397,-204.91989320145,13.6917725399736,-0.296213078045189,-0.78869109352816,0.196264937437782,0.492478015482971
D02,19,4,C02,FALSE,0,0.826429980276134,-218.62855819524,-232.330249285338,-204.926867105141,13.7016910900985,-0.313105531861416,-0.809616696037,0.183405632314167,0.496511164175583
D02,20,4,B34,FALSE,0,0.483234714003945,-218.852268863406,-232.552614008918,-205.151923717893,13.7003451455124,-0.536816200027187,-1.04885070357124,-0.0247816964831374,0.51203450354405
D02,21,4,D33,FALSE,1,0.603550295857988,-218.93798723069,-232.641624858968,-205.234349602412,13.7036376282781,-0.6225345673116,-1.11941592798055,-0.125653206642648,0.496881360668952
D02,22,4,A37,FALSE,0,0.82051282051282,-218.839891594699,-232.543902163877,-205.135881025522,13.7040105691772,-0.524438931320863,-1.02445295767573,-0.0244249049659918,0.500014026354871
D02,23,4,B33,FALSE,0,0.942800788954635,-218.779289275985,-232.494649548998,-205.063929002971,13.7153602730135,-0.463836612606224,-0.957141616773067,0.0294683915606195,0.493305004166843
D02,24,4,D35,FALSE,0,0.978303747534517,-218.874325351305,-232.603103145993,-205.145547556617,13.7287777946882,-0.558872687926412,-1.07294935315191,-0.0447960227009193,0.514076665225493
D02,25,4,A19,FALSE,0,0.844181459566075,-219.11613493485,-232.855679708794,-205.376590160906,13.739544773944,-0.800682271471322,-1.32622441287747,-0.27514013006517,0.525542141406152
D02,Inf,4,,,,,-219.438914912049,-233.229729404156,-205.648100419943,13.7908144921065,-1.12346224867076,-1.7774556381551,-0.469468859186421,0.65399338948434
D03,0,3,,,,,-347.000804388705,-350.240566876692,-343.761041900718,3.23976248798684,-53.5450600378496,-61.8592801788105,-45.2308398968887,8.31422014096089
D03,1,3,B02,TRUE,3,1,-317.324207017968,-324.81621636433,-309.832197671605,7.49200934636235,-23.868462667112,-29.4225447717997,-18.3143805624242,5.55408210468775
D03,2,3,B05,TRUE,3,1,-307.545547702441,-315.756712838961,-299.334382565922,8.21116513651958,-14.0898033515856,-18.5980635679417,-9.58154313522955,4.50826021635608
D03,3,3,A26,TRUE,3,1,-301.44742405409,-309.857985264544,-293.036862843637,8.41056121045351,-7.99167970323443,-11.566293892089,-4.41706551437988,3.57461418885455
D03,4,3,A28,FALSE,2,0.386587771203156,-314.628249974492,-323.379993994982,-305.876505954002,8.7517440204901,-21.1725056236364,-24.4208000562255,-17.9242111910473,3.24829443258911
D03,5,3,C01,FALSE,0,0.93491124260355,-309.789402807532,-318.548277114563,-301.030528500502,8.75887430703048,-16.3336584566767,-19.3927619612887,-13.2745549520647,3.05910350461205
D03,6,3,E10,FALSE,1,1,-300.118475108875,-308.807932283704,-291.429017934046,8.6894571748289,-6.66273075801921,-9.62922373263182,-3.6962377834066,2.96649297461261
D03,7,3,A25,FALSE,0,0.3767258382643,-312.931179141366,-321.928649800644,-303.933708482089,8.99747065927767,-19.4754347905107,-22.2588793627411,-16.6919902182804,2.78344457223036
D03,8,3,B08,FALSE,1,0.873767258382643,-316.293563022681,-325.36602066548,-307.221105379881,9.07245764279944,-22.8378186718252,-25.4431354451119,-20.2325018985386,2.60531677328666
D03,9,3,C02,FALSE,0,0.763313609467456,-314.957021890436,-324.045997932852,-305.86804584802,9.08897604241599,-21.50127753958,-23.9185494547217,-19.0840056244384,2.41727191514162
D03,10,3,E07,FALSE,1,0.911242603550296,-306.36582644065,-315.398644992309,-297.333007888992,9.03281855165837,-12.9100820897946,-15.0771574902243,-10.7430066893649,2.1670754004297
D03,11,3,A27,FALSE,0,0.966469428007889,-297.682854145277,-306.496150408199,-288.869557882355,8.81329626292209,-4.22710979442111,-6.12159959182236,-2.33261999701985,1.89448979740126
D03,12,3,C15,FALSE,1,0.850098619329389,-298.382419100139,-307.104257052624,-289.660581147654,8.72183795248524,-4.92667474928355,-6.60769664071366,-3.24565285785344,1.68102189143011
D03,13,3,C06,FALSE,0,0.473372781065089,-305.128641193658,-314.035201639837,-296.222080747478,8.90656044617968,-11.6728968428019,-13.246263262177,-10.0995304234268,1.57336641937509
D03,14,3,E08,FALSE,0,0.611439842209073,-305.606909365918,-314.577465239894,-296.636353491943,8.97055587397556,-12.1511650150627,-13.6262172775687,-10.6761127525567,1.47505226250602
D03,15,3,A36,FALSE,1,0.674556213017752,-303.815906153693,-312.795662047627,-294.836150259759,8.97975589393381,-10.360161802837,-11.7283920286066,-8.99193157706745,1.36823022576955
D03,16,3,D34,FALSE,0,0.881656804733728,-301.36783748181,-310.351116637025,-292.384558326595,8.98327915521522,-7.91209313095444,-9.21436681765133,-6.60981944425755,1.30227368669689
D03,17,3,A32,FALSE,0,0.893491124260355,-299.180763355954,-308.059928087624,-290.301598624284,8.87916473167032,-5.72501900509831,-6.86858207600033,-4.58145593419628,1.14356307090203
D03,18,3,B03,FALSE,0,0.925049309664694,-297.483040762866,-306.292549964263,-288.673531561469,8.809509201397,-4.02729641201061,-5.05919389199091,-2.99539893203032,1.0318974799803
D03,19,3,F11,FALSE,0,0.986193293885602,-294.13678686721,-302.826848568735,-285.446725165685,8.69006170152488,-0.681042516354622,-1.30559760382691,-0.0564874288823334,0.624555087472289
D03,20,3,F19,FALSE,0,0.925049309664694,-293.455744350856,-302.136509223387,-284.774979478324,8.68076487253153,0,0,0,0
D03,21,3,A33,FALSE,0,0.499013806706114,-296.880716224822,-305.61906484807,-288.142367601574,8.73834862324822,-3.42497187396624,-3.86553507088862,-2.98440867704386,0.440563196922383
D03,22,3,C04,FALSE,0,0.502958579881657,-298.579363083839,-307.391524874737,-289.767201292941,8.81216179089782,-5.12361873298347,-5.71243059387223,-4.53480687209471,0.58881186088876
D03,23,3,E11,FALSE,0,0.700197238658777,-298.891436379422,-307.763169110564,-290.01970364828,8.87173273114196,-5.43569202856654,-6.1615030395177,-4.70988101761539,0.725811010951153
D03,24,3,F01,FALSE,0,0.863905325443787,-298.687680219321,-307.61246972285,-289.762890715792,8.92478950352933,-5.23193586846534,-6.12815316142735,-4.33571857550333,0.896217292962009
D03,25,3,E09,FALSE,0,0.834319526627219,-298.310614371878,-307.217088606222,-289.404140137533,8.90647423434462,-4.854870021022,-5.83403590052638,-3.87570414151762,0.979165879504382
D03,Inf,3,,,,,-302.781763778906,-311.893314319454,-293.670213238359,9.11155054054708,-9.32601942805083,-11.1456837287905,-7.50635512731119,1.81966430073964
D04,0,7,,,,,-291.653206698135,-302.024922647009,-281.281490749262,10.3717159488734,-28.5630410671148,-34.6226106357529,-22.5034714984767,6.05956956863809
D04,1,7,B02,TRUE,3,1,-273.115206033857,-283.887285178685,-262.34312688903,10.7720791448274,-10.0250404028367,-13.2611315849729,-6.78894922070054,3.23609118213621
D04,2,7,B08,TRUE,1,0.919132149901381,-279.158960797211,-290.385258864253,-267.93266273017,11.2262980670413,-16.0687951661908,-19.2074861051506,-12.9301042272309,3.13869093895984
D04,3,7,E07,TRUE,1,0.96646942800789,-277.291381274984,-288.735072042848,-265.84769050712,11.443690767864,-14.2012156439631,-16.9298902023954,-11.4725410855308,2.72867455843227
D04,4,7,B05,TRUE,3,0.879684418145957,-274.319138448156,-285.522199793307,-263.116077103005,11.2030613451508,-11.2289728171352,-13.6298320572424,-8.82811357702786,2.40085924010729
D04,5,7,A26,TRUE,3,0.859960552268245,-270.433177644873,-281.326638853649,-259.539716436096,10.8934612087764,-7.34301201385205,-9.46344052666629,-5.22258350103781,2.12042851281424
D04,6,7,E10,TRUE,1,0.927021696252466,-268.063138808193,-278.840445534065,-257.285832082322,10.7773067258713,-4.97297317717288,-6.91560660662237,-3.03033974772339,1.94263342944949
D04,7,7,C15,TRUE,1,0.948717948717949,-267.240616586817,-278.086179309245,-256.395053864389,10.8455627224279,-4.15045095579604,-5.83940464016174,-2.46149727143035,1.6889536843657
D04,8,7,C02,FALSE,0,0.788954635108481,-270.343220246847,-281.31483536721,-259.371605126485,10.9716151203627,-7.25305461582678,-8.81737672704029,-5.68873250461327,1.56432211121351
D04,9,7,A32,FALSE,0,0.615384615384615,-270.290405874787,-281.25369357923,-259.327118170344,10.9632877044431,-7.20024024376644,-8.67713966829197,-5.72334081924091,1.47689942452553
D04,10,7,B07,FALSE,0,0.980276134122288,-266.632970184102,-277.531928204669,-255.734012163536,10.8989580205663,-3.54280455308167,-4.87668695225631,-2.20892215390702,1.33388239917464
D04,11,7,A33,FALSE,0,0.913214990138067,-268.391203227352,-279.374309173452,-257.408097281252,10.9831059461,-5.30103759633189,-6.4001357676041,-4.20193942505968,1.09909817127221
D04,12,7,A37,FALSE,0,0.735700197238659,-269.323284275879,-280.233754998626,-258.412813553132,10.9104707227468,-6.23311864485831,-7.00075625070294,-5.46548103901367,0.767637605844637
D04,13,7,B40,FALSE,0,0.988165680473373,-263.090165631021,-273.888056919694,-252.292274342347,10.7978912886735,0,0,0,0
D04,14,7,E01,FALSE,0,0.70414201183432,-264.899372208065,-275.785300366792,-254.013444049338,10.8859281587269,-1.80920657704434,-2.34095041563334,-1.27746273845535,0.531743838588994
D04,15,7,A36,FALSE,1,0.980276134122288,-263.366624617239,-274.20958480777,-252.523664426708,10.842960190531,-0.27645898621838,-0.943720772166251,0.390802799729492,0.667261785947871
D04,16,7,B22,FALSE,0,0.433925049309665,-265.491000633573,-276.348658517328,-254.633342749818,10.8576578837548,-2.40083500255229,-3.16937755574309,-1.6322924493615,0.768542553190796
D04,17,7,C16,FALSE,0,0.808678500986193,-266.89071414111,-277.805803259627,-255.975625022592,10.9150891185175,-3.80054851008905,-4.63329149722896,-2.96780552294913,0.832742987139916
D04,18,7,A23,FALSE,0,0.747534516765286,-266.400594369062,-277.364754756925,-255.436433981199,10.9641603878634,-3.31042873804132,-4.20126487260038,-2.41959260348226,0.890836134559056
D04,19,7,F11,FALSE,0,0.974358974358974,-266.09359032738,-277.167443055249,-255.019737599511,11.0738527278691,-3.00342469635947,-4.03074580826371,-1.97610358445523,1.02732111190424
D04,20,7,B37,FALSE,0,0.83629191321499,-267.238512177092,-278.353990564053,-256.123033790132,11.1154783869603,-4.14834654607192,-5.31270232044607,-2.98399077169776,1.16435577437415
D04,21,7,E04,FALSE,0,0.686390532544379,-267.741211735213,-278.836192844959,-256.646230625467,11.0949811097462,-4.65104610419237,-5.87409516096033,-3.42799704742441,1.22304905676796
D04,22,7,F01,FALSE,0,0.465483234714004,-268.508390416786,-279.612900970941,-257.403879862632,11.1045105541544,-5.41822478576569,-6.66702914820475,-4.16942042332664,1.24880436243906
D04,23,7,A10,FALSE,0,0.644970414201183,-268.995019078455,-280.135104858678,-257.854933298231,11.1400857802235,-5.90485344743413,-7.2053897999201,-4.60431709494816,1.30053635248597
D04,24,7,A28,FALSE,2,0.617357001972387,-268.523815870138,-279.684434412934,-257.363197327342,11.1606185427959,-5.43365023911711,-6.77966997298563,-4.08763050524859,1.34601973386852
D04,25,7,F19,FALSE,0,0.873767258382643,-267.363520511661,-278.525422917313,-256.20161810601,11.1619024056516,-4.27335488064077,-5.65002164999256,-2.89668811128898,1.37666676935179
D04,Inf,7,,,,,-269.718528285251,-280.882421261402,-258.554635309099,11.1638929761514,-6.62836265423026,-8.36950511415381,-4.88722019430671,1.74114245992355
D05,0,4,,,,,-351.974351485856,-352.733811012882,-351.21489195883,0.759459527025941,-2.23630854683888,-3.33397832095157,-1.1386387727262,1.09766977411268
D05,1,4,A22,TRUE,1,0.998027613412229,-351.478228810039,-352.406210133963,-350.550247486116,0.927981323923478,-1.74018587102215,-2.70853703921944,-0.771834702824862,0.968351168197288
D05,2,4,D33,TRUE,1,0.994082840236686,-351.029453826377,-352.082945577599,-349.975962075156,1.05349175122133,-1.2914108873604,-2.13120950274647,-0.451612271974337,0.839798615386065
D05,3,4,A13,TRUE,2,0.808678500986193,-353.046918760337,-354.184464200921,-351.909373319754,1.13754544058395,-3.30887582132062,-4.02721723792097,-2.59053440472027,0.71834141660035
D05,4,4,F21,TRUE,1,0.990138067061144,-350.456971384594,-351.665386379411,-349.248556389776,1.20841499481731,-0.718928445576721,-1.32194123165762,-0.115915659495824,0.603012786080897
D05,5,4,C08,FALSE,0,0.818540433925049,-352.643510941614,-353.902112743324,-351.384909139904,1.25860180170992,-2.90546800259675,-3.43311267268466,-2.37782333250885,0.527644670087909
D05,6,4,A35,FALSE,0,0.546351084812623,-354.068056643987,-355.372980885132,-352.763132402842,1.30492424114538,-4.33001370497016,-4.73728372206269,-3.92274368787762,0.407270017092531
D05,7,4,A23,FALSE,0,0.73767258382643,-353.309739961485,-354.646237499878,-351.973242423092,1.33649753839314,-3.57169702246811,-3.84900940439923,-3.29438464053699,0.277312381931122
D05,8,4,A29,FALSE,0,0.998027613412229,-349.738042939017,-351.087754382195,-348.388331495839,1.34971144317788,0,0,0,0
D05,9,4,A33,FALSE,0,0.149901380670611,-351.694249238852,-353.028207097956,-350.360291379749,1.33395785910348,-1.95620629983536,-2.17955532115678,-1.73285727851394,0.223349021321421
